X_150,Y_150,X_240,Y_240
0.33417,0.06386,0.30971,0.1035
0.34691,0.02737,0.32258,0.08625
0.36013,0.04562,0.33599,0.138
0.37386,0.05474,0.34996,0.12075
0.38811,0.07299,0.3645,0.207
0.4029,0.05474,0.37966,0.3105
0.41826,0.09124,0.39544,0.39675
0.4342,0.09124,0.41187,0.5865
0.45075,0.16422,0.42899,0.46575
0.46794,0.12773,0.44682,0.63825
0.48577,0.21897,0.4654,1.29376
0.50429,0.45618,0.48474,1.24201
0.52351,0.70252,0.50489,1.88026
0.54347,0.44706,0.52587,1.44901
0.56418,0.55654,0.54773,1.06951
0.58569,0.52004,0.5705,1.38001
0.60801,1.34117,0.59421,3.00152
0.63119,3.24799,0.61891,6.05478
0.65524,4.25159,0.64463,5.81328
0.68022,3.61294,0.67143,5.10602
0.70615,1.7426,0.69934,2.31151
0.73306,0.9671,0.72841,1.1385
0.76101,0.72989,0.75868,0.87975
0.79001,0.83024,0.79022,0.77625
0.82013,0.72076,0.82306,0.77625
0.85139,0.9671,0.85727,1.05225
0.88384,2.14404,0.89291,3.1395
0.91753,5.41939,0.93002,7.95224
0.9525,10.5742,0.96868,13.19623
0.98881,14.42434,1.00894,14.31747
1.0265,13.58497,1.05088,10.64322
1.06563,7.5178,1.09456,4.81273
1.10624,2.6367,1.14005,1.39724
1.14841,1.16781,1.18744,0.5865
1.19218,0.70251,1.23679,0.552
1.23763,0.78462,1.2882,0.39502
1.2848,0.7755,1.34174,0.31567
1.33377,0.55653,1.39751,0.2208
1.38461,0.739,1.4556,0.32775
1.43739,1.77908,1.5161,0.56925
1.49218,2.70056,1.57912,0.74174
1.54906,3.5308,1.64476,0.94874
1.6081,2.76442,1.71312,0.67274
1.6694,1.74259,1.78433,0.39675
1.73303,0.62952,1.8585,0.10177
1.79909,0.5839,1.93574,0.01898
1.86766,0.4288,2.0162,0.05179
1.93885,0.52916,2.10001,0.03528
2.01276,0.64777,2.18729,0.08457
2.08948,0.41968,2.27821,0.05343
2.16912,0.28283,2.3729,0.03282
2.2518,0.19159,2.47153,0.01811
2.33763,0.08211,2.57426,0.03281
2.42674,0.14598,2.68126,0.00242
2.51924,0.14598,2.79271,0.01652
2.61526,0.1186,2.90879,0.01639
2.71495,0.09671,3.02969,0.00259
2.81843,0.01259,3.15562,0.03114
2.92586,0.00976,3.28679,0.00345
3.03739,0.02372,3.4234,0.03441
